author,text
@The_Owl_Sin_of_Dread,Nintendo is not worth it anymore.
@eduardoavitia5080,To expensive
@uttkarsh9031,"In short, Same but Larger."
@catmeows2031plays,From the Wii to the U to the Switch to the 2
@SinfulDeva,Keep it I'll stick with my PC 400+ for outdated tech and 90+ for licenses. Old  console greedy company ugh y'all changed Nintendo
@jennyfinney2292,450 bucks for just the console and 80-90 Doller games it's just outrageous!!!!!!!!!!!!!!!!!
@Elizabeth-u8w6g,Nintendo de América porque ya si sale santiago hijos nuevos hermanos de videojuegos super Mario maker 3 por favor haz esto 0:55
@shorter54,Can You Make Arms 2? Please
@fenix576,🤮🤮🤮🤮
@Choripancito27,"4:21  GAME BUILDER GARAGE REVIVEEEEEEEED


AND THE CONSOLE EXCEEDED MY EXPECTATIONS"
@EmceeJoseph,"No more rails that can get worn and loose with repeated sliding, instead magnets!
Wonder if they have Hall-effect joysticks, would be similarly useful"
@Wileytiger-el6pu,For a company that loves to sue everyone they are taking our rights as consumers to sue them if they have a product defect? This is laughable.
@mikemoore5201,"I hate Nintendo for doing this raising the price on games to 80 to 100 dollars plus the key card downloads Nintendo fanboys will buy the system, day one but this will have ramifications for the gaming industry in the future. It’s gonna crash the entire industry, and I hope to God it does. And I’m fine with it because I have a huge backlog of games. I have thousands of games. I do not need to buy the system day one I’m very happy with my PS five which is a more powerful system. than the switch 2 but Sony and Xbox is following Nintendo‘s lead by raising prices I own 200. PS five games and I only finished 65 so I’m good. I don’t need to buy new games because I have plenty of old games to play. They can go screw themselves. They’re not getting my money anymore."
@gascraiccraic3857,Switch 2 reserve the right to brick you system and can record your voice chat.  European GDPR is going to fine Nintendo.  Looking forward to requesting any personal data Nintendo is storing.
@nepu1764,Hahaha cobanermani456 and etika will totally buying the $600 Switch 2 and Joy-cons wonder what they are both up too lately. Wonder where is Etika and Cobanermani456 they are missing out on this.
@Nspire3,Boomer af type trailrr lmao literally a powerpoint slide
@DineNastyLakers,"Please Nintendo, send me the invite. I just want to buy the system to play and enjoy."
@guilhermedeoliveiraortiz390,"The Nintendo Switch 2 already shows signs of being a doomed product. Charging a high price for limited hardware, outdated software, low-quality peripherals, and a communication platform that tries to mimic Discord but suffers from poor frame rates is hard to justify. Seriously, Nintendo—why insist on selling products that fall so far behind industry standards?"
@sophie6004,this is old
@Rex_hak3r,"I love the new Nintendo Switch, they really took a chance with this amazing console ❤"
@anybee612,"I'm not really gonna lie so I'll be honest, people who have the switch won't even be able to get switch 2 games."
@DanielLope-f3i,NINTENDO IS BEING GREEDY
@G-25684,What game is that 2:29
@josemorales-hz5ye,Hey nintendo  we dont want gamekeycards we want complete phisical games give developers  the chance to do that with diferent capacity  cartriges
@TomShamis,Where is virtual boy switch classic?
@Connorb2018,3:52 Mariokart world!
@wakamoto361,Rather just buy a PC and play Palworld
@Semblance-o9t,Nintendo 2: The Console That Takes Your Money On A One-Way Trip
@vicenteamaro6704,What you want to do with the contract is illegal if I buy something It's mine and I'm free to make what I want with it.  IF YOU BRICK A CONSOLE YOU HAVE TO GIVE ME THE MONEY BACK AND A COMPENSATION
@Hwyeji.luvs_,Nintendo can i have a nintendo switch oled (JK LOL)
@ohio_sigma_gamer,we dont need the van the switch 2 is already cool
@MageryGuy,"Wow. Look at that hunk of trash. $90 for a table game I can't mod? After what you're doing with Palworld I'm NEVER BUYING ANOTHER NINTENDO PRODUCT FOR AS LONG AS I LIVE. 
Also We've already modded back everything you forced them to take out so fk you."
@ericmirabal5151,will super smash bros come out on Nintendo switch 2
@carterconway7272,"I’m so excited for this,i just can’t wait to play it."
@hightidetwo,They can brick the consoles now so that's great...
@KayluvMaldonado-d3x,Why Nintendo why
@Beef_Willips,Would have participated if didn't decide to gut competition (Palworld). Sucks this world revolves around money and not fun
@Beef_Willips,I'm not buying this garbage
@Landonthegamer9053,I HATE YOU 🤬🤬🤬 FOR ONE REASON I CAN'T USE MY SWITCH UNTIL I AGREE WITH THE STUPID POLICYS YOUR MAKING UP
@MatthewvanAggelen-y4f,"The Nintendo switch 2 is bigger than the number switch, double the plixes and many more it can play switch 2 games along with the switch games so you can use it for your own time any time any where in any day in your own way."
@UğurBilici-i4b,"nahh im cool , im cool with my 3ds , no need to waste money"
@MYSTERIOMEATBALL,We got Nintendo switch 2 before gta 6 😭💀
@danielaguirre2516,So this is basically a slightly bigger Nintendo Switch. Got it
@420ヤシの木の恋人,"It's alright Nintendo, I'll just get a steam deck, thx ..."
@superteacher9559,"So much hype from Nintendo for the Switch 2 — and for what? It’s still using a chip weaker than a 2060, with no OLED screen or built-in camera like the 3DS had. Total downgrade. And now they’re also trying to block class action lawsuits by forcing users into individual arbitration — unless you physically mail a letter to opt out within 30 days. Gamers in 2025 won’t fall for this. We’re more selective now, and this kind of outdated, anti-consumer move won’t go unnoticed.
Plus, this policy might even violate EU laws, where restricting group lawsuits or forcing arbitration is often seen as unfair and potentially illegal. European courts could easily strike this down."
@reevesimmonds610,So no mention of the significant power boost it needs??
@Yoshi-767,Please ask shigero miyamoto to ad custom themes to the switch 2
@kevinhone7526,"Save your money, don't buy the Switch 2 yet? Wait for a few years for the new console settle down? There will be bugs and glitches? And more likely to crash? And please don't fight over the console like Karen's? Handle with care? ⚠️⚠️⚠️⚠️⚠️⚠️⚠️"
@ZeryuGames,Stop being an abusive company!!!
@Astr0Pickl3,I wish i afford it
@danielalvarez1810,"8 years since switch 1 and these are the improvements?, what a joke"
@LIGHTANGEL_EX,DROP THE PRICE
@brysonhaugh52,Idea smash bros more characters. new inklings redesign.more waluigi and wario. main characters tails and luigi. make medium price. New game
@DarkShorts-z3u,WE GOT NINTENDO SWITCH 2 BEFORE GTA 6
@pinkboy7220,Oh yeah
@ashleyalexander2847,I feel we can bring the cost down of games and consoles by boycotting them when they first come out. These companies are out of control
@AvidDevar,"Dear Nintendo, Stop wasting your time.  Until 2 years ago I would’ve advocated for anyone wanting to play games or new to games to start with a Nintendo system.  However, this new price change you are attempting is inexcusable and morally bankrupt.  To say nothing of your unethical and immoral lawsuit against PalWorld which would not and did not compete with your market.  People who are Pokémon fans would’ve and did for the most part still purchase your products.  However, I find myself steadily pushed towards an uncomfortable reality where my money speaks louder than my words.  Stop messing with PalWorld and Stop trying to change the economics of gaming.  If you wanted to win over people to your customer base, you are failing miserably.  I am struggling with the idea of supporting any games you create, products you put out, or even by word of mouth supporting you anymore.  Drop your prices, drop your lawsuit, and instead of trying to claim you own the intellectual property of throwing a ball in a video game, prove Pokémon is and can be superior as a product by making your games better than PalWorld.  If you refuse to change what you are doing, mark my words:  You are forcing your customers to choose between you and the little guy.  In the U.S.A. Everyone wants the little guy to succeed, so your biggest market will see you as the bad guy and we don’t like bad guys in the U.S.  Most of all, the little guy is still pricing their game at $50, meaning that you have now caused them to undercut your prices, and you haven’t stopped any competition, if anything this lawsuit will make them stronger.  So I repeat Stop before it is too late.  - I’ve been a Pokémon fan since 1996 guys.  If you were truly smart, instead of suing PalWorld, you would partner with them and together make more money than either is capable of alone."
@JAGER686,"No thanks, Nintendo has ruined the industry and will no longer support them in my household. We'll be upgrading to a steam mobile platform."
@kero_nintendo,this will be the best console to release imo!
@cindydare9509,Please Roblox 😊
@Traig_Born2006,Why do I have the feeling that Mario kart is more popular than Super Mario Bros
@HuYsUzUn,NINTENDO GONNA HAVE THE EXPERIENCE OF SONY IN 2006
@earthspark2364,You guys need to drop the lawsuit
@ShWade,Will it run Palworld?
@Artorias-The-Wolf-Knight,"Just a reminder, Nintendo is a garbage company with garbage practices."
@dionisiojrluango1819,Technologia technologia
@Drummaboie2,Pokemon still going to look like a pile of blocks man
@renanoliveira5338,SÓ DESEJO A FALENCIA DE VOCÊS!
@Test20348,"screw you nintendo, patent terrorists, not a penny for you"
@angelirons4707,why not oeld dam you
@willedgerly6025,"Your lawsuits are insane, stay away from pal world! It's 10x better than any Pokémon game you've made. Claiming copyright infringement on a ""smooth gliding"" mechanic is insane 😡"
@wotanmituns33,1080p screen in 2025. I'm supposed to be impressed?
@pyrethistle7551,"You can no longer use pals as gliders in Palworld because of nintendo. many games before and after used this mechanic and are fine, but Nintendo singles out Palworld. please do what you can to support Palworld. please start Pirateing as many Nintendo games as you can. steal as many games as you can from this scum of a company. i wish only the worst for Nintendo and there higher ups"
@badfish43,after today im done with nintendo here i come sony
@X-PRO-Kaleb,Pls add refunds
@zyooi8473,didn’t the design for Blue&Red Joycon alr？
@NovahKayn,Why would they even drop this it looks horrible 😂😂😂😂
@RS-bu1vz,"All fun and games but if you want to make this one of the most succesfull console launches ever then make a Pokemon Heartgold & Soulsilver remaster it's official launch title.

It'll be unstoppable. But no, 10 years of fans begging isn't enough."
@Boomerang_monkey1,Give us a new animal crossing please
@GamingGamesandmore,Crap
@AaronCrosby-p6d,NAH THE 3 PLAY MODES ARE JUST THE NORMEL SWITCH PLAY MODES
@short-s-person,All I’m hearing is that it is bigger istg
@Voidgalaxian,Wait if there is a usb -c port on the top do this  mean we can dock it upside down?
@RyanJackson,"So pricey for drifting sticks. Will skip and stick with affordable, flexible, SteamDeck. Zelda isn’t worth it."
@Skullduggerydodo,"Don't know why everyone is crying about price when everyone will just end up buying it , if I know this Nintendo sure do"
@niceswish5205,gay
@jerrodowens4298,Who else would buy this if they released Twilight princess Hard copy with the system
@Elbozogoaterboater69,This seems like a HUGE upgrade to the first switch
@TheInfiniteLegend,"Deadass the stock music actually sounds real nice...
I wonder if I could get a license for it? Or was it made inhouse?"
@HildaCornero-ij8me,The year That Nintendo Has Gone Greedy Than They Think About.
@ciarasweat4804,"Hurry up, though we said I can’t wait that long"
@FPSF_YT,"best console imo, can't wait for it to come out!"
@plumberboy81,My money is going to a different castle
@dochedgehog,"RIP Nintendo.

A whole month later and not even a buzz about it apart from your loyals"
@lordnathan1,Arrrr me mateys. I do reckon that luffy is asking me to join he crew. Time to be a pirate
@GeorgeMCHuddles,Why are you not releasing the console in Latin America? Are you really that racist and xenophobic?
@lavatiger8952,This is gonna suck!
@BurstingColorzzz,can you use your membership if you already have it?
@unlisted-dk9nb,Maybe the switch 2 won't have absolutely crap download speed because my home has a 50 mbps baseline and I'm trying to download a 30 mega byte game a my system says it'll take 10 hours and 4 minutes to do it
@mariamolayinka6120,Mario Kart World is going to be fun.
@josiethomas5716,I hate the new update on a tendency.Switch one that you have to compare both of your device is o k and I tell you switch one and the ten of switch light and connect them to actually play fortnite in other games which you don't have the card
@Leonrpg6YT,"Nintendo Switch I just created Mario Odyssey 2 because it's my favorite game, it has four new kingdoms, suits, 2900 moons, new bosses and a workshop with environments and objects to create sub-areas, if you answer me I'll give you all the ideas to help the Nintendo Switch 2"
@dumma_alfred-fi1cb,Everyone chill until they announce the price
@dumma_alfred-fi1cb,"Great console but way to expensive, why on earth is this thing more expensive than a ps5 and a Steam Deck? And why on earth does the games cost 90 dollars?"
@agustinhernandezrivas-jp7jk,One month left!
@Rowda342,Please I want one nentendo switch Please 🙏
@TheWashingLad1600,Whos here in 2033?Switch 3 is great
@dandy_23derfz,$80 games are coming
@EpicE3G,"That looks so cool! Now, all we need is themes!"
@Unplayed3,2:59 Yesssin Nintendo now I can play Fortnite with my friends oh wait PlayStation Allred did that😂😂😂
@AidenIsABot,god the audio design for this video is incredible
@TheVariant19,After finding out the prices Nintendo just say your broke and honestly ik why your a broke boi cuz you just throw your money in to lawsuits over petty stuff
@immanuelrobertdasilva4749,Imagine if they air Mario golf world tour from the 3DS on this new console?
@MartiDimitrov-p5o,"I am never gonna be able to buy it, my parents don't allow me, but i want it so badly"
@musicalnerdkay,the only game i’m spending $90 on is tomodachi life living the dream 🥹 these prices are crazy 💔
@ranglerradar6535,So excited for these console thank you for the video I know the joy cons are getting mouse controls try not to over look the touch screen thank you again
@pr8vatecoro-zq4hc,"Not worth buying, shame on Nintendo for the cost of some games"
@Sharktimusprime,"A Nintendo sorry, if I sound a bit weird about this asking this question. But would there be a new jet tail fin game on the Nintendo switch 2?"
@dandy_23derfz,PIKMIN 5?
@AmandaBecquet,"Usage area, he get it in dw using the Sarah off.If you get it in w, give
Me a brilliant bw b w"
@PanchitoCovelo,¿do you nintendo the minecraft bedrock
@OrigamiGavin2525,Your new software update is stupid. All thanks to you now we cannot play games at the same time thanks a bunch for ruining the switch
@michelmfotografia,"Otro robo he recibido, ya van 40 y yo sé que uds. Son los autores intelectuales de este robo y otros más"
@Axolote_Editz,"If I don't buy it with the Mario Kart bundle, I won't have any NS2 1st party for sure lol"
@furou3111,"Its very interesting that when talking about the sticks. The english version just simply says ""The left and right sticks are now larger."" while in the japanese voice-over, they say ""The sticks have become larger and more durable."". I wonder why they didn't address this in this english version.."
@Advanced-Recon,Who's here in 2031? Switch 2 still great.
@dandy_23derfz,RAISE THE PRICE
@irene9505,so happy im getting one :)
@JwolfAj2009,R.I.P Wallets 😂
@Світігровихпригод,"Nintendo switch 2 is too expensive because has so many details, which is normal, but the expensive games =💀"
@FriesmanRBLX,It’s too big and probably too heavy too for me.
@justbcoodog9259,i  can finally play certain games in 4k lets goo
@peachc-s7c,"Eey.. Mario kart debe mejorar mucho,
Poner crash team racing PlayStation 1
El super derrape es perfecto , o Nintendo hace algo con Mario kart o solo jugarán niños ,
Y es una pena ..
Yo fui de super Nintendo con super Mario kart el bueno el difícil 👏👌
Hoy está bien pero el derrape no vale... Ctr ps1 mucho mejor 🤷‍♀️"
@planescaped,"Nintendo has well and truly had their Xbone moment.

Serves 'em right."
@markrimes5193,They say their price is based on their value?  The iPhone cost $10 at cost to make. So Nintendo Switch should sale for $10 ? Their games for $5 USD.
@user-ch5tn6dc1o,Please added a switch 2 edition for super Mario odyssey
@davidsnow7193,"NINTENDO reverse SWITCH one update. Families should have the right to share games with each other. 😠 you said we could. Why, the chances now."
@Bonely578,We're not going to buy a slightly better switch
@AshleyMiller-m1u,I don’t really need one because I have a PS five but I kinda want one
@tennoluluthetwins7900,Damn that much. So greedy.
@gwa1682,The switch 2 on the level would take us to the simulation experience.
@7milesdavis,Is this the switch pro that never got released? Did you have to re-shell them all and that’s why it costs so much? I was excited for this console until you started talking about key cards and game prices. I think I’ll buy another Super Nintendo and a bunch more games for that instead.
@Benjamations1023,MARIO GAME SHOTS!?
@TheRealPedroGD,the snap is gone 😭
@SSG4Boy,Super Cool!
@MXMAURIX,"Good technology, but boring design, where did the iconic colors that highlight the design go?"
@divisionalmockery,"Nintendo... just stop, bring back the pixilated mario stuff like super Mario world"
@AbdielalexanderValenzuel-bb2pk,"Bro, the only thing I ask is that before making version 1 obsolete, you at least put in a way to add themes (that aren't just black and white)😢"
@Winston-p7i,I Know What I Am Getting My Mom For Her Birthday
@luisbarron8593,Why the consoles are black
@CM0400,Can you put in nintendo switch 2 super mario galaxy 2 because my wii is broken
@Alucard_FahrenheitTepes,lol   ..... 😂........🤔..... ....🤣 Its not OLED screen 😂😂😂😂🤪 fail.....
@xenx77,F you Nintendo.
@damonkunkle1676,Never gonna buy something that cost that much ig my Nintendo day r over
@JohnTaco,sotch two!
@daunhijau5395,Please make the OVER OASIS game appear on switch or make a version 2🙏🏻
@dorixstudios,$450 And $80 games? I'm leaving nintendo. I'm going to buy a Playstation.
@S4oof,skibidi
@bradohiox,"Nintendo, the way the Switch 2 release was handled is a disgrace.
Loyal fans were left with nothing while scalpers and multiple buyers abused the system.
It even feels like favoritism might have played a role behind the scenes.
You owe your real customers better protection, fairness, and honesty. This was not right."
@deejahgrayman1174,Lower the priceis🕒
@lucasthegamemasterporterfi84,Nintendo should have gone for 2TBs
@abbyseky9165,"come on! Nintendo switch 2 overview trailer!
it should be a high quality SiIvaGunner (an Uppercase I masquerade of SilvaGunner with Lowercase L) rip masqueraded with a hidden guessing joke with Kendrick Lamar TV Off"
@thetruewookie3219,With the price of it and the way they will be doing the games and price for them I'm out
@Ari-np8ve,$499
@Hagrid.ps1,Drop the price…!!
@xae125,So not OLED
@Negativ3sc0r3,"Stop showing me ads little bro, im not buying"
@draknor353,Drop the price.
@MrOldeastdallas,It looks pretty dope. Might get one as soon as its released even though I am not too much into gaming.
@BaoTranHD,omg
@Lateef-g2d,Nintendo I need you to cook your the goat 🐐
@DarkLord_95,Drop the price
@DarkLord_95,Drop the price
@DarkLord_95,Drop the price
@DarkLord_95,Drop the price
@DarkLord_95,Drop the price
@glayzelchacon8535,cant the magnetic thing break with scraping it like a mouse?
@OtisHargarten-m8m,ITS gonna be too expensive
@AlphaBuggyBoy,400+ dollar consoles are bad
@Traig_Born2006,"If they decide to do more literature, just like Nintendo switch. 2. The next games they do should be one Mario kart world versus mode the desk blood More drag and drive Kirby air riders split fiction civilization 7 and Tony hawk's pro skater 3 + 4"
@stephenmcdermott3604,👏👏👏👏👏👏
@ShadowWither64,Cool. TAKE MY MONEY 💰💰💰 AND GIVE ME YOUR CONSOLE
@OmarMasri-ct5ox,Dang that’s a bit too far for the switch 2 to come out (June 5)
@jAxy-B0,Im gonna have to sell my whole house for this😭
@glacejd1840,Mario Paint 2 when?
@ericmirabal5151,will there be a nintendo switch 3
@Dorkman777,Can't wait to pick up my Switch 2 on June 5th.
@pedroalex7399,"Se vc junta taxação e o preço do dólar dá um absurdo no brasil

United States:R449,99 = 2800 reais

Brazil:R$719,99 = 4500 reais"
@ColinBonner,noice
@skylerskyler2144,I didn't hear anything about the processor. Is that not a thing for Nintendo?
@Isthattheguyyfromthemovie,"Time: 5:30
Cost: 5.30"
@DavidHernandezDavidhe346,"Boooooooooooo, I'm not buying this boooooo tooo expensive booooo"
@DaRagingAlcoholic420,ADD F-ZERO OR ME NO BUY! 😶‍🌫️
@evisceratetheweak1301,I have a switch and it collects dust. Honestly if I’m gonna buy a hand held I’m getting a pc one. I can play steam games along with others on it. And probably for cheaper than a switch 2 game.
@BigbacksnacksGetFat,The guy talking hasn’t aged for 14 years from the last 3DS features video
@hippydude1,Does this also mean I have to buy Mario kart again with the bonus pack. What over 100 quid haha
@hippydude1,No one uses tablet top mode
@XHDGDESUJX,"If you complain about something but still do it 

Wouldn't that make you a hypocrite 
Almost all the gamers now

Unfortunately we have people who will buy anything 
Even a 1000 dollar console and 100 dollar games"
@marvelgeek9577,I got my Switch 2 preorder in. I can’t wait for June 5th. The next generation of Nintendo is about to begin.
@IssacMadrid-i7j,This is worth it
@perryphoenix2017,"Make spider man 2
Sense it's could Nintendo switch 2."
@ChrisHart20256,I pre ordered my console yesterday
@yoshiswag-jc3xo,Yoshis Wolly world on switch 2 pls
@OFADENFox,I feel like this is what the Oled version should have been.
@mrs.valasek9978,At least they lowered the price a bit now but 80$ for 1 game??
@HandheldGames,1080 screen 🙄🙄🙄🙄 my iPhone is 2-3K are you serious?
@XanderGRAMlive,You surely  upgraded your trailer
@luisstonstone4104,What a crap your game key card format
@Hkzinn1,Muito caro
@A_Literal_Toad,"Nintendo, I don’t think you’ll read this comment but please add flipnote studio to the switch 2. It would be perfect since unlike the original switch the switch 2 has a microphone which would be perfect since currently the only way to use flipnote studio us on the ds ( which some people may not have currently as they are saving for this console)."
@CitrineQueen,Keep physcial games without download codes. Dont be evil. Also those prices are awful what is wrong with you?
@AboubakarOumarou-t7q,Please a nintendo switch oled gratuitement
@Deadpool1203-h7p,Nintendo: Pay up.
@CooperHamlyn-f6y,I love the music in the switch 2 trailer
@Ari-np8ve,Super cool
@41KeplerB,$500 for the console and then $80 per game plus $10 to $20 for a DLCs All for a console that should have been like this the first time around that you know full and well that you could have made like this the first time around but you wanted to squeeze extra money out of the populace
@woland1980,"I played Bowser's Fury on the big screen, felt straight like 4K."
@Betweengamers76,"No Physical Games = No Console
Thanks to Nintendo I can keep my money as I have lots of Physical games from other consoles I need to play for the coming years ..
See you in next console !"
@TheMadTraveler,This looks like the switch
@Violet-sz7yr,So I can play my original Botw and Totk on new Switch 2. Hopefully itll save so I dont have to start from beginning.
@kendramurphy4491,The price might go up because of the tariffs
@Kioshi_yo,Just pre-ordered mines 🥳
@kubiskubis2,"Nintendo, please understand. You should no longer be a console manufacturer, but a game development company. You have games that everyone wants to play, but no one wants to buy a console just to play your games. We buy consoles because it's the only way, and we hate it more and more.
Release games for PC, PS and Xbox."
@kubiskubis2,"TVs 2025: 8k
Nintendo 2025: 1080p
TVs 2032: 12k
Nintendo 2032: 1440p"
@Gamzor,but can it crysis?
@gtagent4games,People who are pre-ordering the Switch 2 tomorrow 👇
@matiasmunozwerner3176,In my country even a PS5 Slim is way more cheaper than the Switch 2.
@danielquintanilla6385,Drop the price in latam
@AumSumYTPs4Life,You are almost at 10M subscribers!
@baga123451,ABAIXA O PREÇO NO BRASIL TA 650 DOLARES ESSA M3RD4 DE CONSOLE. TE ORIENTA NINTENDO.
@felipesouza3900,F 🤬Nintendo
@HomerunHeroIV,"Sorry, im not paying $450 for Mario cart. I'd rather just buy an xbox series X"
@linkboy876_gamer,4:48 why is no one mentioning the fact there is a “notifications” button on the settings screen? Edit: nvm that was on the og
@zombiexcoredeath6894,"No worries, Nintendo. I have no interest in this, yet I might grab it for my daughter once she's 10. Have to wait till Aug when she is born, though. 😅🤣"
@seiko-825,❤
@aflockofwakas8942,😅im getting portable mini table with mouse pad who rolling it on concrete 😅😂🤣
@angelicagonzalez4424,Nintendo se llama Pokémon poresoso
@angelicagonzalez4424,Nintendo de manda ha David y ha fanni  están el el estado de México
@laurellekitchen5320,"Games I want Nintendo to make for Switch 2:
1.Make a new nintendogs +cats like 3ds. With more dogs and more competitions for dogs and cats and customizable house.
2.Make a new style savvy game like3ds
3.Make a Hunger Games, Narnia and Twilight openworld like hogwarts legacy, but following the books and movie plot. The characters should look like the movies.
4.Make a new hogwarts legacy with all the harrypotter books storyline in one big game.
5.Make more epic mickey games 2 and 3
6.Make a hot pink switch 2 at launch"
@アッキー2525,日本人で良かったー
@EthanHatfieldPlays-k2n,just noticed that the right joycon 2 no longer has an IR camera
@alyssa407,we hate you
@isaaksaucedoorendain8897,Can you higher the price to $500
@badmoose01,Why does it have to have an lcd? People with a switch OLED are downgrading in image quality no doubt.
@Mimicaros,will i be able to connect the switch 2 to my monitor or just a tv?
@R0b0-y6m,We pray for an unpatchable hardware exploit
@csale-dizon1570,Nintendo Switch 2 releases on the same day as Phineas and Ferb revival series on June 5th.
@Uranus-n4j,took em 10 years to go from 720p to 1080p . outrageous
@tee2blox,i just buy nintendo switch after saving money  1 year
@LandonKnottsGaming,IM HYPED!!!🎉🎉
@isaiahwilliams8454,I'm broke how can the Nintendo switch 2 adapt to that situation
@Evoke_1,"Never buying anything from Nintendo anymore. Company is too full of themselves and became greedy

Everyone who agrees, needs to voice their disappointment. Otherwise nintendo won't backtrack on the price of games..."
@josemiguelgonzalez7257,Drop the prices
@panchodemmy,"Sus juegos se ven gráficamente igual con más resolución, los Pokémon van a peor, no habra un próximo gran zelda hasta dentro de 4 a 5 años, los juegos son más caros, presume de potencia y el chat va a 15 FPS. Debe fracasar... Será rentable comprarla en 5 años que salgan mejores juegos y baje de precio, pero si no vende bien no habra mucho contenido de compañias externas 👎💀"
@damienkhalifa,And have U heard of a.i.n I believe
@damienkhalifa,And maybe with a controller or something
@damienkhalifa,U guys R gonna need like a glasses version next time hopefully
@micahcoupaud6067,I can still count each individual pixel on Mario's face
@Chester_them0lester,It even has a headphone jacket in 2025
@shingirayimarodza688,It is coming out on my b day
@DaniyalAR3006.,ps5 equivelent to a nintendo
@MrEvtmazda,Need to take out an second mortgage to keep playing on Nintendos systems
@KarlosMomoa,"SOOO You'r telling me, I have pay for the 500$ dollar console and also pay for not to play each Game like if I haven't Buy it 😂😂😂😂 ARE YOU FKG CRAZY?"
@GotEmAll1337,90 beans per game?  Lmao no way
@Diglett_-ju6zc,"Not getting it, but I hope whoever gets it enjoys it"
@medlyman6513,Shut up and take my money (but not as much as you’re charging please)
@HorstHorstensen-y6e,"Fanbois seem to hate money and common sense, typical..."
@DanNi_8,"The console pricing is pretty ok tbf, but charging players 80-90€/$ for a base game is too much regadless which game it is. And Nintendo's case is even worse because their games will cost the same now than 8-10 years after release."
@vickyalexandersieto,we support nintendo switch so much in all this years and got overprice upgrade Lol
@zachfernandez92,"People are exaggerating the prices and have the wrong information. Matio Kart is $80 not $90. The U.S. games are cheaper. And it's NOT from President Trump that the prices are $80. Nintendo said it themselves. And Nintendo made games have been confirmed to be on the cartridge. It's some third party games that might not be on the cartridge. I am not a rich guy and the games are a little high. But I am still going to try to get the Switch 2 and it's stupid to act immature about the price. Yet those people never complain about Playstation's prices of there systems, controllers and games."
@hdmdnx,"Thank you for this video, very enlightening!"
@JoshuaFengler-o9p,Drop the price drop the price drop.drop the price
@TarenWright,"Dear Nintendo,

The Steam Deck is better. Drop game prices to convince PC gamers to not just buy the same thing but it plays their Steam library of games they already own for PC and runs linux as well. Also, I know you guys at nintendo hate this but the Steam Deck is probably powerful enough to emulate switch 2 games (not that I would.) Finally, I'm still working my way through the Switch 1 library so I don't se why I should buy a $450 Switch 2 and pay $90 for every game when I have a perfect Switch 1 with a bunch of games I already own. If you want people to buy it, lower the prices. This advice is free and I know a thing or two about gamers (I am one) so you can take it and make a bunch of money or not and watch your console flop.

Sincerely,
The person who plays Wii U in 2025"
@yairpascual,"Why? You had everything to win, now I see Mario like a greedy character, thank u"
@TarenWright,WE KNOW WHAT A NINTENDO SWITCH (2) DOES! DROP THE PRICE! I WILL BUY A STEAM DECK INSTEAD IF NOT LESS THAN $400!
@CircleOfStarLightDruid,Bring back dragalia lost
@Grulicar5,Can they look like yoshi's island but for switch 2?
@siuuu9957,No Oled 1080 in 2025 😂😂😂😂
@jasperbroeders3851,I aint buying this piece of crap
@selxeverx,"The full price for the full nintendo switch 2 expierience:

- 450$ for the console
- 80$ for each game (90$ if physical)
- 3.99$ per month for online games + voice chat
- 89.99$ for joycons so you can play with friends
- 50$ for the camera

This is PREDATORY. I cant believe there are people who defend this evil company."
@thrasher5257,"Bring Destiny to Switch 2.

I’m on the road too much to enjoy that game."
@SadBoy123-9,I can play an old kcartrij
@EzelMale,"Sml is very close to cease and desist, they almost said yoshi princess peach and daisy"
@urbanhazard-jb1kx,Drop the price !!! Nintendo worldwide not just japan!!!
@ALLAMERICANNATIVEX2,So i should put away my OLED and get the Switch 2?
@Maybe_ThyShadowMan,I wonder how Sparking Zero is gonna look like on a Switch 2
@ColbertAwesome,Drop the Prices Nintendo
@JR-oq1ms,Nintendo please do away with the borders and Player 1 icon when playing all the switch online and expansion pack games.
@Chi_Rho-12,We got another Wii U situation right here. Nintendo never learns from their past. They are successful and with their newfound confidence they become greedy and try and charge higher prices only for the console to inevitably fail for that reason. I actually don’t mind the console price. The game prices are what disgusts me however. The switch 1 was popular because it was convenient and affordable but the switch 2 destroys that with the prices. I’ll be sticking with my switch 1 and PS5.
@FedAliaj,Hello future me
@bennyduskyzoz,"Dragon ball, Sparking zero port please!"
@ESCOBAR0817,No one buying ts cro
@jasonlewis460,I think the smaller size was better. I use sneak it into my cargo pockets and go to school. Now i need to put in a BAG. WTF!!
@jasonlewis460,Can we get Darkstalkers 2025 !!!!
@ericleiberg4690,Make Mickey and the Castle of Illusion of switch game
@ericleiberg4690,Make Mickey and the Castle of Illusion of switch game
@ericleiberg4690,Make Mickey and the Castle of Illusion to switch game
@ericleiberg4690,Make Mickey and the Castle of Illusion of switch game not for switch 2
@Thewanderingnomaddog,Nintendo switch are scalping their own products  prices
@madeinatxx6299,brendan depa would be hyped for the switch 2 too bad he’s in jail now for beating up a teacher 😭
@stroie1pain,this will be the best console ever!
@Anton-v3b6q,Drop the price
@chikakoseki3941,"I,mJapanese! Nintendo love!"
@z-hop8180,"How did we get from expensive bulky ENIAC and cathode-ray tube technology to more advanced but moderately inexpensive portable technology which doesn't require as much ""resources"" to develop and sell ... back to ENIAC level prices with the accessible inexpensive tech of today?! 🙄 Wuh....?"
@aRookieGod,LOWER THE PRICE
